,name,eans,0,1,cluster_id
214,Bonherba Herbis sans sucres,7613269324263,chocolat,bonbons-chewing-gum,0
215,Bonherba Herbis sans sucres,7610167754611,chocolat,bonbons-chewing-gum,0
216,Bonherba Herbis sans sucres,7613269324270,chocolat,bonbons-chewing-gum,0
217,M-Classic sucre de raisin orange,7617027010184,chocolat,bonbons-chewing-gum,0
218,M-Classic sucre de raisin orange,7613312065082,chocolat,bonbons-chewing-gum,0
219,M-Classic sucre de raisin orange,7617027010191,chocolat,bonbons-chewing-gum,0
220,M-Budget Spearmint,7613312062401,chocolat,bonbons-chewing-gum,0
221,M-Budget Spearmint,7613312062418,chocolat,bonbons-chewing-gum,0
222,Bonherba Bonbons aux herbes et sauge,7610167616810,chocolat,bonbons-chewing-gum,0
223,Bonherba Bonbons aux herbes et sauge,7613269294078,chocolat,bonbons-chewing-gum,0
224,Bonherba Bonbons aux herbes et sauge,7610167750057,chocolat,bonbons-chewing-gum,0
225,Bonherba Bonbons aux herbes et sauge,7613269294085,chocolat,bonbons-chewing-gum,0
226,Tic Tac orange,4008400399324,chocolat,bonbons-chewing-gum,0
227,Tic Tac orange,4008400392004,chocolat,bonbons-chewing-gum,0
228,Tic Tac orange,4008400652603,chocolat,bonbons-chewing-gum,0
229,Tic Tac orange,7610065329867,chocolat,bonbons-chewing-gum,0
230,Smams Joghurt fruits,7613312124796,chocolat,bonbons-chewing-gum,0
231,Smams Joghurt fruits,7613312124802,chocolat,bonbons-chewing-gum,0
232,Bonherba mélisse au citron,7610167618098,chocolat,bonbons-chewing-gum,0
233,Bonherba mélisse au citron,7613269293958,chocolat,bonbons-chewing-gum,0
234,Bonherba mélisse au citron,7610167753867,chocolat,bonbons-chewing-gum,0
235,Bonherba mélisse au citron,7613269293965,chocolat,bonbons-chewing-gum,0
236,Bonherba bonbons aux herbes,7610167618050,chocolat,bonbons-chewing-gum,0
237,Bonherba bonbons aux herbes,7613269293910,chocolat,bonbons-chewing-gum,0
238,Bonherba bonbons aux herbes,7610167753881,chocolat,bonbons-chewing-gum,0
239,Bonherba bonbons aux herbes,7613269293927,chocolat,bonbons-chewing-gum,0
240,Baselbieterli Caramels à la crème,7610200040749,chocolat,bonbons-chewing-gum,0
241,Baselbieterli Caramels à la crème,7617015024650,chocolat,bonbons-chewing-gum,0
242,M-Budget Eucamenthol,7613312053454,chocolat,bonbons-chewing-gum,0
243,M-Budget Eucamenthol,7613312053461,chocolat,bonbons-chewing-gum,0
244,Carambar Caramel,7622210104526,chocolat,bonbons-chewing-gum,0
245,Carambar Caramel,3048281237255,chocolat,bonbons-chewing-gum,0
246,Carambar Caramel,7622210104540,chocolat,bonbons-chewing-gum,0
247,Carambar Caramel,13048281237252,chocolat,bonbons-chewing-gum,0
