id,name,barcode,category,Énergie (kJ),Sel (g),Protéines (g),Sucres (g),Glucides (g),Matières grasses (g),Acides gras saturés (g),Fibres alimentaires (g),Biotine (µg),Vitamine B1 (Thiamine) (mg),Vitamine E (Tocopherol) (mg),Acide folique (µg),Vitamine A (µg),Vitamine D (Cholacalciferol) (µg),Vitamine C (Acide ascorbique) (mg),Vitamine B6 (Pyridoxine) (mg),Vitamine B5 (acide pantothénique) (mg),Vitamine B3 (Niacine) (mg),Vitamine B2 (Riboflavine) (mg),Vitamine B12 (Cobalamine) (µg)
365,M-Classic Paprika Pommes Chips,7616800905631,/aperitif/chips,2190.0,1.8,7.0,4.0,50.0,32.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,M Budget Noisettes Moulues ,7613269193067,/boulangerie/ingredients-de-boulangerie,2710.0,0.1,15.0,4.5,7.0,61.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375,Migros Bio Raccard Suchoix,7617067021188,/produits-laitiers-oeufs/fromages,1440.0,2.0,25.0,0.1,1.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,Favorit : Cerises suisses,27004753,/petit-dejeuner/confitures,912.0,0.04,0.8,51.0,52.0,0.5,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,M Classic Nouilles 5 oeufs,7610145404712,/garnitures-ingredients/pates,1495.0,0.86,16.0,2.5,64.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,Feuersteine Bonbons de mariage,7613269332602,/chocolat/bonbons-chewing-gum,1649.0,0.0,0.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,Alnatura Olives vertes,4104420129849,/garnitures-ingredients/legumes-legumes-au-vinaigre,617.0,4.0,0.9,0.5,3.5,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,Polli Cipolle Borettane Aromatizzate con \,8001310193118,/garnitures-ingredients/antipasti,223.0,1.76,0.6,8.0,9.5,0.8,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,NOBLESSE CAPPUCCINO cioccolato,7613269188278,/boissons-chaudes-froides/cafe,150.0,0.02,0.7,3.5,5.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,Mifloc Purée de pommes de terre,7616800430324,/garnitures-ingredients/pommes-de-terre-spaetzli,385.0,0.9,2.5,1.5,14.0,2.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,M Budget Ramequins,7616700131468,/produits-surgeles/aperitif-dessert,960.0,0.9,7.0,2.5,18.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,Gaufrettes : Chocolat,5449000084873,/boissons-chaudes-froides/boissons-sucrees,2120.0,0.4,5.0,37.0,64.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,Knorr Bouillon Pur Gemüse,8712566361458,/garnitures-ingredients/soupes-sauces-bouillon,30.0,1.2,0.1,0.3,0.3,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,Patissier Orangeat en cubes,76102097,/boulangerie/ingredients-de-boulangerie,1350.0,0.0,0.5,0.0,78.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,Midor Varietà,7617400032406,/boulangerie/ingredients-de-boulangerie,1989.0,0.35,11.0,51.0,69.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,M Classic Italian Dressing,7613269268116,/garnitures-ingredients/soupes-sauces-bouillon,590.0,1.9,0.5,7.0,8.0,12.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,Alnatura Marzipan Nougat,42247104,TO_CLASSIFY,2108.0,0.03,6.8,47.0,49.0,30.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,M Budget CHOCOLAT NOIR,7613269195504,/chocolat/chocolat,2180.0,0.01,5.0,54.0,57.0,29.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,Homemade : Cupcakes : Vanille-Choco,7617400020847,/boulangerie/ingredients-de-boulangerie,1520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,Rivella Kalorienarm Das original in light,7610097112079,/boissons-chaudes-froides/boissons-sucrees,30.0,0.03,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
