,category,Énergie (kJ),Sel (g),Protéines (g),Sucres (g),Glucides (g),Matières grasses (g),Acides gras saturés (g),Fibres alimentaires (g),Biotine (µg),Vitamine B1 (Thiamine) (mg),Vitamine E (Tocopherol) (mg),Acide folique (µg),Vitamine A (µg),Vitamine D (Cholacalciferol) (µg),Vitamine C (Acide ascorbique) (mg),Vitamine B6 (Pyridoxine) (mg),Vitamine B5 (acide pantothénique) (mg),Vitamine B3 (Niacine) (mg),Vitamine B2 (Riboflavine) (mg),Vitamine B12 (Cobalamine) (µg)
54,/GARNITURES_INGREDIENTS/POISSON_EN_CONSERVE,756.3753846153847,2.0426923076923074,18.765384615384615,1.060576923076923,2.009615384615384,12.850000000000001,0.19230769230769232,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,/GARNITURES_INGREDIENTS/GARNITURES_BIO,1273.003953488372,0.37232558139534877,16.497674418604653,2.1906976744186046,47.97906976744187,5.206976744186046,0.5653488372093024,6.679069767441861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,/GARNITURES_INGREDIENTS/CHAMPIGNONS,1128.7857142857142,0.3307142857142857,22.357142857142858,4.1000000000000005,20.214285714285715,7.642857142857143,0.9214285714285715,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,/PRODUITS_LAITIERS_OEUFS/CREME,1050.7105263157894,0.12289473684210524,2.6473684210526316,3.65,3.9552631578947373,25.350000000000005,0.23684210526315788,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,/PRODUITS_SURGELES/VIANDE,788.6164383561644,0.9806849315068492,16.806849315068494,1.3027397260273972,5.852054794520548,10.91095890410959,0.2328767123287671,0.5643835616438355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,/BOULANGERIE/PAINS_DE_MIE,1108.9333333333334,1.4733333333333334,9.8,2.966666666666667,43.4,4.633333333333334,0.0,4.133333333333334,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,/PRODUITS_LAITIERS_OEUFS/DESSERT,784.2619047619048,0.1776190476190476,3.5166666666666666,17.54285714285714,21.26904761904762,9.592857142857143,0.21428571428571427,0.6333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,/CHOCOLAT/JOURS_DE_FETES_EVENEMENTS,1871.6206896551723,0.23586206896551723,7.151724137931034,36.648275862068964,58.54137931034483,19.42758620689655,1.5,6.137931034482759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,/APERITIF/POPCORN,1789.5,1.4399999999999997,6.816666666666666,17.066666666666666,63.0,15.0,1.5,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,/GARNITURES_INGREDIENTS/RIZ,1512.625,0.01541666666666667,7.0,0.4708333333333334,74.41666666666667,0.9458333333333333,0.2125,1.7083333333333333,0.0,0.012499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0
